,Symbol,Name,Industry,IndustryCode
122,ULTA,Ulta Beauty Inc,전문품 상점,534030
123,ACGL,Arch Capital Group Ltd,보험,553010
124,PODD,Insulet Corp,헬스케어 장비 및 용품,561010
125,LCID,Lucid Group Inc,자동차 및 자동차 부품,531010
126,VRSN,Verisign Inc,소프트웨어 및 IT서비스,572010
127,ARGX,argenx SE ADR,생명과학 및 메디컬 리서치,562020
128,LPLA,LPL Financial Holdings Inc,투자은행 및 서비스,551020
129,ZS,Zscaler Inc,소프트웨어 및 IT서비스,572010
130,JBHT,J B Hunt Transport Services Inc,화물 및 물류 서비스,524050
131,NTRS,Northern Trust Corp,투자은행 및 서비스,551020
132,HOLX,Hologic Inc,헬스케어 장비 및 용품,561010
133,IEP,Icahn Enterprises Units,오일 및 가스,501020
134,MPWR,Monolithic Power Systems Inc,반도체 및 반도체 장비,571010
135,LI,Li Auto Inc ADR,자동차 및 자동차 부품,531010
136,BGNE,Beigene Ltd ADR,생명과학 및 메디컬 리서치,562020
137,ERIC,Telefonaktiebolaget LM Ericsson ADR Class B,커뮤니케이션 및 네트워킹,571020
138,ICLR,ICON PLC,생명과학 및 메디컬 리서치,562020
139,TCOM,Trip.com Group Ltd ADR,호텔 및 엔터테인먼트,533010
140,HZNP,Horizon Therapeutics PLC,제약,562010
141,INCY,Incyte Corp,제약,562010
142,EXPD,Expeditors International of Washington Inc,화물 및 물류 서비스,524050
143,RYAAY,Ryanair Holdings PLC ADR,운송업,524060
144,CINF,Cincinnati Financial Corp,보험,553010
145,STLD,Steel Dynamics Inc,메탈&마이닝,512010
146,CHKP,Check Point Software Technologies Ltd,소프트웨어 및 IT서비스,572010
147,ABMD,ABIOMED Inc,헬스케어 장비 및 용품,561010
148,FSLR,First Solar Inc,재생에너지,502010
149,PPD,PPD Inc,생명과학 및 메디컬 리서치,562020
150,TTWO,Take-Two Interactive Software Inc,레저 상품,532050
151,SEDG,Solaredge Technologies Inc,재생에너지,502010
152,NTAP,NetApp Inc,"컴퓨터, 전화 및 가전제품",571060
153,BMRN,Biomarin Pharmaceutical Inc,제약,562010
154,EXPE,Expedia Group Inc,호텔 및 엔터테인먼트,533010
155,ALGN,Align Technology Inc,헬스케어 장비 및 용품,561010
156,PTC,PTC Inc,소프트웨어 및 IT서비스,572010
157,AZPN,Aspen Technology Inc,소프트웨어 및 IT서비스,572010
158,APA,APA Corp (US),오일 및 가스,501020
159,GEN,Gen Digital Inc,소프트웨어 및 IT서비스,572010
160,SWKS,Skyworks Solutions Inc,반도체 및 반도체 장비,571010
161,AKAM,Akamai Technologies Inc,소프트웨어 및 IT서비스,572010
162,TRMB,Trimble Inc,소프트웨어 및 IT서비스,572010
163,TER,Teradyne Inc,반도체 및 반도체 장비,571010
164,UAL,United Airlines Holdings Inc,운송업,524060
165,LKQ,LKQ Corp,자동차 및 자동차 부품,531010
166,WMG,Warner Music Group Corp Class A,미디어 및 출판,533020
167,LNT,Alliant Energy Corp,전기 유틸리티,591010
168,TW,Tradeweb Markets Inc Class A,투자은행 및 서비스,551020
169,ETSY,ETSY Inc,다양한 소매업,534020
170,VTRS,Viatris Inc,제약,562010
171,SIVB,SVB Financial Group,은행,551010
172,MTCH,Match Group Inc,소프트웨어 및 IT서비스,572010
173,CHK,Chesapeake Energy Corp,오일 및 가스,501020
174,NDSN,Nordson Corp,"건설장비 및 대형차, 기차, 배",521020
175,SPLK,Splunk Inc,소프트웨어 및 IT서비스,572010
176,POOL,Pool Corp,레저 상품,532050
177,TECH,Bio-Techne Corp,생명과학 및 메디컬 리서치,562020
178,GLPI,Gaming and Leisure Properties Inc,주택 및 상업용 리츠,601020
179,SSNC,SS&C Technologies Holdings Inc,소프트웨어 및 IT서비스,572010
180,ZBRA,Zebra Technologies Corp Class A,전자 장비 및 부품,571040
181,AXON,Axon Enterprise Inc,우주항공 및 국방,521010
182,HST,Host Hotels & Resorts Inc,주택 및 상업용 리츠,601020
183,JKHY,Jack Henry & Associates Inc,소프트웨어 및 IT서비스,572010
184,NICE,Nice Ltd ADR,소프트웨어 및 IT서비스,572010
185,FCNCA,First Citizens BancShares Inc (Delaware) Class A,은행,551010
186,ERIE,Erie Indemnity Co Class A,보험,553010
187,ZI,ZoomInfo Technologies Inc,소프트웨어 및 IT서비스,572010
188,TPG,TPG Inc Class A,투자은행 및 서비스,551020
189,FWONK,Liberty Media Corp Series C,미디어 및 출판,533020
190,UTHR,United Therapeutics Corp,생명과학 및 메디컬 리서치,562020
191,WDC,Western Digital Corp,"컴퓨터, 전화 및 가전제품",571060
192,PCTY,Paylocity Holding Corp,소프트웨어 및 IT서비스,572010
193,NBIX,Neurocrine Biosciences Inc,생명과학 및 메디컬 리서치,562020
194,COIN,Coinbase Global Inc Class A,핀테크,573010
195,REG,Regency Centers Corp,주택 및 상업용 리츠,601020
196,ENTG,Entegris Inc,반도체 및 반도체 장비,571010
197,BSY,Bentley Systems Inc Class B,소프트웨어 및 IT서비스,572010
198,STX,Seagate Technology Holdings PLC,"컴퓨터, 전화 및 가전제품",571060
199,MDB,MongoDB Inc Class A,소프트웨어 및 IT서비스,572010
200,CHRW,CH Robinson Worldwide Inc,화물 및 물류 서비스,524050
201,LBRDK,Liberty Broadband Corp Series C,미디어 및 출판,533020
202,CZR,Caesars Entertainment Inc,호텔 및 엔터테인먼트,533010
203,HTHT,H World Group Ltd ADR,호텔 및 엔터테인먼트,533010
204,CG,Carlyle Group Inc,투자은행 및 서비스,551020
205,XP,XP Inc Class A,투자은행 및 서비스,551020
206,RGEN,Repligen Corp,헬스케어 장비 및 용품,561010
207,HSIC,Henry Schein Inc,헬스케어 장비 및 용품,561010
208,MKTX,Marketaxess Holdings Inc,투자은행 및 서비스,551020
209,EWBC,East West Bancorp Inc,은행,551010
210,NFE,New Fortress Energy Inc Class A,천연가스 유틸리티,591020
211,MORN,Morningstar Inc,전문 및 상업 서비스,522030
212,GRAB,Grab Holdings Ltd Class A,소프트웨어 및 IT서비스,572010
213,BRKR,Bruker Corp,헬스케어 장비 및 용품,561010
214,DOX,Amdocs Ltd,소프트웨어 및 IT서비스,572010
215,LOGI,Logitech International SA,"컴퓨터, 전화 및 가전제품",571060
216,PARA,Paramount Global Class B,미디어 및 출판,533020
217,ARCC,Ares Capital Corp,다양한 금융서비스,555010
218,WSC,Willscot Mobile Mini Holdings Corp Class A,전문 및 상업 서비스,522030
219,PLUG,Plug Power Inc,재생에너지,502010
220,SWAV,Shockwave Medical Inc,헬스케어 장비 및 용품,561010
221,AAL,American Airlines Group Inc,운송업,524060
222,LAMR,Lamar Advertising Co Class A,주택 및 상업용 리츠,601020
223,LSXMK,Liberty Media Corp Series C,미디어 및 출판,533020
224,PSNY,Polestar Automotive Holding Uk Plc ADR Class A,자동차 및 자동차 부품,531010
225,QRVO,Qorvo Inc,반도체 및 반도체 장비,571010
226,CAR,Avis Budget Group Inc,운송업,524060
227,JAZZ,Jazz Pharmaceuticals PLC,제약,562010
228,SRPT,Sarepta Therapeutics Inc,생명과학 및 메디컬 리서치,562020
229,CREE,Cree Inc,반도체 및 반도체 장비,571010
230,UHALB,Amerco Series N,화물 및 물류 서비스,524050
231,DOCU,DocuSign Inc,소프트웨어 및 IT서비스,572010
232,FLEX,Flex Ltd,전자 장비 및 부품,571040
233,CASY,Caseys General Stores Inc,식품 및 약품소매,543010
234,FOXA,Fox Corp Class A,미디어 및 출판,533020
235,SBNY,Signature Bank,은행,551010
236,ESLT,Elbit Systems Ltd,우주항공 및 국방,521010
237,LEGN,Legend Biotech Corp ADR,생명과학 및 메디컬 리서치,562020
238,CBSH,Commerce Bancshares Inc,은행,551010
239,PAA,Plains All American Pipeline Units,오일 및 가스 장비 및 서비스,501030
240,FIVE,Five Below Inc,다양한 소매업,534020
241,FFIV,F5 Inc,소프트웨어 및 IT서비스,572010
242,CGNX,Cognex Corp,"건설장비 및 대형차, 기차, 배",521020
243,LSCC,Lattice Semiconductor Corp,반도체 및 반도체 장비,571010
244,DISH,DISH Network Corp Class A,미디어 및 출판,533020
245,TTEK,Tetra Tech Inc,전문 및 상업 서비스,522030
246,LECO,Lincoln Electric Holdings Inc,"건설장비 및 대형차, 기차, 배",521020
247,PBCT,People's United Financial Inc,은행,551010
248,HAS,Hasbro Inc,레저 상품,532050
249,CHDN,Churchill Downs Inc,호텔 및 엔터테인먼트,533010
250,HOOD,Robinhood Markets Inc Class A,핀테크,573010
251,WYNN,Wynn Resorts Ltd,호텔 및 엔터테인먼트,533010
252,DBX,Dropbox Inc Class A,소프트웨어 및 IT서비스,572010
253,SEIC,SEI Investments Co,투자은행 및 서비스,551020
254,ZION,Zions Bancorporation NA,은행,551010
255,NVCR,Novocure Ltd,헬스케어 장비 및 용품,561010
256,OTEX,Open Text Corp,소프트웨어 및 IT서비스,572010
257,OKTA,Okta Inc Class A,소프트웨어 및 IT서비스,572010
258,KRTX,Karuna Therapeutics Inc,생명과학 및 메디컬 리서치,562020
259,EXAS,Exact Sciences Corp,생명과학 및 메디컬 리서치,562020
260,ROKU,Roku Inc Class A,미디어 및 출판,533020
261,ACHC,Acadia Healthcare Company Inc,헬스케어 업체 및 서비스,561020
262,MANH,Manhattan Associates Inc,소프트웨어 및 IT서비스,572010
263,MIDD,Middleby Corp,가정용품,532040
264,ASND,Ascendis Pharma A/S ADR,생명과학 및 메디컬 리서치,562020
265,HALO,Halozyme Therapeutics Inc,생명과학 및 메디컬 리서치,562020
266,BOKF,BOK Financial Corp,은행,551010
267,PDCE,PDC Energy Inc,오일 및 가스,501020
268,RGLD,Royal Gold Inc,메탈&마이닝,512010
269,YNDX,Yandex NV Class A,소프트웨어 및 IT서비스,572010
270,CELH,Celsius Holdings Inc,음료,541010
271,SSB,SouthState Corp,은행,551010
272,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,533010
273,MEDP,Medpace Holdings Inc,생명과학 및 메디컬 리서치,562020
274,GNTX,Gentex Corp,자동차 및 자동차 부품,531010
275,IRDM,Iridium Communications Inc,통신 서비스,574010
276,FOX,Fox Corp Class B,미디어 및 출판,533020
277,PNFP,Pinnacle Financial Partners Inc,은행,551010
278,NWSA,News Corp Class A,미디어 및 출판,533020
279,XM,Qualtrics International Inc Class A,소프트웨어 및 IT서비스,572010
280,RUN,Sunrun Inc,재생에너지,502010
281,VLY,Valley National Bancorp,은행,551010
282,CHRD,Chord Energy Corp,오일 및 가스,501020
283,XRAY,DENTSPLY SIRONA Inc,헬스케어 장비 및 용품,561010
284,SAIA,Saia Inc,화물 및 물류 서비스,524050
285,IONS,Ionis Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
286,DLO,Dlocal Ltd Class A,전문 및 상업 서비스,522030
287,GTLB,GitLab Inc Class A,소프트웨어 및 IT서비스,572010
288,MASI,Masimo Corp,헬스케어 장비 및 용품,561010
289,ROLL,RBC Bearings Inc,"건설장비 및 대형차, 기차, 배",521020
290,CACC,Credit Acceptance Corp,은행,551010
291,CNXC,Concentrix Corp,전문 및 상업 서비스,522030
292,NTNX,Nutanix Inc Class A,소프트웨어 및 IT서비스,572010
293,CHX,ChampionX Corp,오일 및 가스 장비 및 서비스,501030
294,REYN,Reynolds Consumer Products Inc,가정용품,532040
295,CYBR,Cyberark Software Ltd,소프트웨어 및 IT서비스,572010
296,EXLS,Exlservice Holdings Inc,전문 및 상업 서비스,522030
297,Z,Zillow Group Inc Class C,부동산 운영 관리,601010
298,FUTU,Futu Holdings Ltd ADR,핀테크,573010
299,MAT,Mattel Inc,레저 상품,532050
300,NXST,Nexstar Media Group Inc,미디어 및 출판,533020
301,DKNG,DraftKings Inc Class A,호텔 및 엔터테인먼트,533010
302,CFLT,Confluent Inc Class A,소프트웨어 및 IT서비스,572010
303,DSGX,Descartes Systems Group Inc,소프트웨어 및 IT서비스,572010
304,APP,Applovin Corp Class A,소프트웨어 및 IT서비스,572010
305,WWD,Woodward Inc,우주항공 및 국방,521010
306,QDEL,Quidelortho Corp,헬스케어 장비 및 용품,561010
307,OZK,Bank Ozk,은행,551010
308,LSTR,Landstar System Inc,화물 및 물류 서비스,524050
309,PPC,Pilgrims Pride Corp,식품 및 담배,541020
310,AMKR,Amkor Technology Inc,반도체 및 반도체 장비,571010
311,UBSI,United Bankshares Inc,은행,551010
312,FYBR,Frontier Communications Parent Inc,통신 서비스,574010
313,HTZ,Hertz Global Holdings Inc,운송업,524060
314,ONB,Old National Bancorp,은행,551010
315,WTFC,Wintrust Financial Corp,은행,551010
316,LANC,Lancaster Colony Corp,식품 및 담배,541020
317,OPCH,Option Care Health Inc,헬스케어 업체 및 서비스,561020
318,LFUS,Littelfuse Inc,"건설장비 및 대형차, 기차, 배",521020
319,CROX,Crocs Inc,섬유 및 의류,532020
320,BZ,Kanzhun Ltd ADR,소프트웨어 및 IT서비스,572010
321,FSV,FirstService Corp,부동산 운영 관리,601010
322,SIGI,Selective Insurance Group Inc,보험,553010
323,HQY,Healthequity Inc,소프트웨어 및 IT서비스,572010
324,NWL,Newell Brands Inc,가정용품,532040
325,DOOO,BRP Inc,레저 상품,532050
326,LBTYK,Liberty Global PLC Class C,통신 서비스,574010
327,EXEL,Exelixis Inc,생명과학 및 메디컬 리서치,562020
328,VNOM,Viper Energy Partners Units,오일 및 가스,501020
329,FFIN,First Financial Bankshares Inc,은행,551010
330,AGNC,AGNC Investment Corp,주택 및 상업용 리츠,601020
331,PENN,PENN Entertainment Inc,호텔 및 엔터테인먼트,533010
332,ALGM,Allegro Microsystems Inc,반도체 및 반도체 장비,571010
333,NOVT,Novanta Inc,전자 장비 및 부품,571040
334,LNW,Light & Wonder Inc,호텔 및 엔터테인먼트,533010
335,DRVN,Driven Brands Holdings Inc,"개인, 가정 용품 및 서비스",542010
336,BPOP,Popular Inc,은행,551010
337,ENSG,Ensign Group Inc,헬스케어 업체 및 서비스,561020
338,NATI,National Instruments Corp,소프트웨어 및 IT서비스,572010
339,EXPO,Exponent Inc,전문 및 상업 서비스,522030
340,LHCG,LHC Group Inc,헬스케어 업체 및 서비스,561020
341,MKSI,MKS Instruments Inc,"건설장비 및 대형차, 기차, 배",521020
342,OLED,Universal Display Corp,반도체 및 반도체 장비,571010
343,GH,Guardant Health Inc,생명과학 및 메디컬 리서치,562020
344,WING,Wingstop Inc,호텔 및 엔터테인먼트,533010
345,APLS,Apellis Pharmaceuticals Inc,제약,562010
346,SOFI,SoFi Technologies Inc,은행,551010
347,COHR,Coherent Corp,전자 장비 및 부품,571040
348,HCP,HashiCorp Inc Class A,소프트웨어 및 IT서비스,572010
349,MTSI,MACOM Technology Solutions Holdings Inc,반도체 및 반도체 장비,571010
350,UFPI,Ufp Industries Inc,종이 및 임산물,513010
351,HWC,Hancock Whitney Corp,은행,551010
352,ITCI,Intra-Cellular Therapies Inc,생명과학 및 메디컬 리서치,562020
353,COLM,Columbia Sportswear Co,섬유 및 의류,532020
354,WIX,Wix.Com Ltd,소프트웨어 및 IT서비스,572010
355,FIBK,First Interstate BancSystem Inc Class A,은행,551010
356,PYCR,Paycor HCM Inc,소프트웨어 및 IT서비스,572010
357,SPSC,SPS Commerce Inc,소프트웨어 및 IT서비스,572010
358,SRCL,Stericycle Inc,전문 및 상업 서비스,522030
359,BILI,Bilibili Inc ADR,소프트웨어 및 IT서비스,572010
360,KNTK,Kinetik Holdings Inc Class A,오일 및 가스 장비 및 서비스,501030
361,BMBL,Bumble Inc Class A,소프트웨어 및 IT서비스,572010
362,QLYS,Qualys Inc,소프트웨어 및 IT서비스,572010
363,SLAB,Silicon Laboratories Inc,반도체 및 반도체 장비,571010
364,WEN,Wendys Co,호텔 및 엔터테인먼트,533010
365,BCPC,Balchem Corp,식품 및 담배,541020
366,UMPQ,Umpqua Holdings Corp,은행,551010
367,FIZZ,National Beverage Corp,음료,541010
368,COKE,Coca-Cola Consolidated Inc,음료,541010
369,TSEM,Tower Semiconductor Ltd,반도체 및 반도체 장비,571010
370,NVEI,Nuvei Corp,전문 및 상업 서비스,522030
371,RRR,Red Rock Resorts Inc Class A,호텔 및 엔터테인먼트,533010
372,POWI,Power Integrations Inc,반도체 및 반도체 장비,571010
373,EEFT,Euronet Worldwide Inc,전문 및 상업 서비스,522030
374,CERE,Cerevel Therapeutics Holdings Inc Class A,생명과학 및 메디컬 리서치,562020
375,SLM,SLM Corp,은행,551010
376,FCFS,Firstcash Holdings Inc,은행,551010
377,IART,Integra Lifesciences Holdings Corp,헬스케어 장비 및 용품,561010
378,IPGP,IPG Photonics Corp,전자 장비 및 부품,571040
379,AFRM,Affirm Holdings Inc Class A,핀테크,573010
380,KNBE,Knowbe4 Inc Class A,소프트웨어 및 IT서비스,572010
381,TXG,10X Genomics Inc Class A,헬스케어 장비 및 용품,561010
382,LSXMA,Liberty Media Corp Series A,미디어 및 출판,533020
383,FIVN,Five9 Inc,소프트웨어 및 IT서비스,572010
384,CRSP,CRISPR Therapeutics AG,생명과학 및 메디컬 리서치,562020
385,CWST,Casella Waste Systems Inc Class A,전문 및 상업 서비스,522030
386,TENB,Tenable Holdings Inc,소프트웨어 및 IT서비스,572010
387,SMCI,Super Micro Computer Inc,"컴퓨터, 전화 및 가전제품",571060
388,ACT,Enact Holdings Inc,보험,553010
389,APPF,Appfolio Inc Class A,소프트웨어 및 IT서비스,572010
390,IAC,IAC Inc,소프트웨어 및 IT서비스,572010
391,AAON,Aaon Inc,"건설장비 및 대형차, 기차, 배",521020
392,NTLA,Intellia Therapeutics Inc,생명과학 및 메디컬 리서치,562020
393,UMBF,UMB Financial Corp,은행,551010
394,DNLI,Denali Therapeutics Inc,생명과학 및 메디컬 리서치,562020
395,FOXF,Fox Factory Holding Corp,자동차 및 자동차 부품,531010
396,NARI,Inari Medical Inc,헬스케어 장비 및 용품,561010
397,PTEN,Patterson-UTI Energy Inc,오일 및 가스 장비 및 서비스,501030
398,LNTH,Lantheus Holdings Inc,헬스케어 장비 및 용품,561010
399,SYNA,Synaptics Inc,반도체 및 반도체 장비,571010
400,ZD,Ziff Davis Inc,소프트웨어 및 IT서비스,572010
401,UCBI,United Community Banks Inc,은행,551010
402,LYFT,Lyft Inc Class A,소프트웨어 및 IT서비스,572010
403,VC,Visteon Corp,자동차 및 자동차 부품,531010
404,FRSH,Freshworks Inc Class A,소프트웨어 및 IT서비스,572010
405,MRTX,Mirati Therapeutics Inc,생명과학 및 메디컬 리서치,562020
406,CVBF,CVB Financial Corp,은행,551010
407,INDB,Independent Bank Corp (Massachusetts),은행,551010
408,CIGI,Colliers International Group Inc,부동산 운영 관리,601010
409,CRUS,Cirrus Logic Inc,반도체 및 반도체 장비,571010
410,RMBS,Rambus Inc,반도체 및 반도체 장비,571010
411,MMSI,Merit Medical Systems Inc,헬스케어 장비 및 용품,561010
412,COUP,Coupa Software Inc,소프트웨어 및 IT서비스,572010
413,ALKS,Alkermes Plc,생명과학 및 메디컬 리서치,562020
414,SPWR,SunPower Corp,재생에너지,502010
415,AVT,Avnet Inc,전자 장비 및 부품,571040
416,FELE,Franklin Electric Co Inc,"건설장비 및 대형차, 기차, 배",521020
417,TFSL,TFS Financial Corp,은행,551010
418,SANM,Sanmina Corp,반도체 및 반도체 장비,571010
419,HLNE,Hamilton Lane Inc Class A,투자은행 및 서비스,551020
420,MQ,Marqeta Inc Class A,핀테크,573010
421,VIRT,Virtu Financial Inc Class A,투자은행 및 서비스,551020
422,PCH,Potlatchdeltic Corp,주택 및 상업용 리츠,601020
423,SHLS,Shoals Technologies Group Inc Class A,"건설장비 및 대형차, 기차, 배",521020
424,LITE,Lumentum Holdings Inc,커뮤니케이션 및 네트워킹,571020
425,ALTR,Altair Engineering Inc Class A,소프트웨어 및 IT서비스,572010
426,SMPL,Simply Good Foods Co,식품 및 담배,541020
427,ACDC,ProFrac Holding Corp Class A,오일 및 가스 장비 및 서비스,501030
